Quelle est l'ordre de Mars dans le système solaire ?,4
Quelle est l'ordre de Saturne dans le système solaire ?,6
Quel est l'orde de Jupiter dans le système solaire ?,5
La Lune est elle une planète ?,non
À quelle température est le centre du soleil ?,15 millions de degrés
Vénus est elle la planète la plus éloigné du système solaire ?,neptune
Quelle mission spatiale a permis à l'humain de marcher pour la première fois sur la lune en 1969 ?,apollo 11
Quelle planète est surnommée la planète rouge ?,mars
Quelle est la plus grande planète du système solaire ?,jupiter
Quelle planète est la plus éloignée du soleil ?,neptune
Quelle planète est la plus proche du soleil ?,mercure
Quelle est l'ordre d'Uranus dans le système solaire ?,7
Quelle est la planète la plus proche du Soleil ?,mercure
Quelle planète est souvent appelée la "planète rouge" ?,mars
Combien de planètes composent notre système solaire ?,8
Quelle planète est la plus grande du système solaire ?,jupiter
Quel est le nom de notre propre planète ? ,la Terre
Quelle planète est connue pour ses magnifiques anneaux ?,saturne
Quelle planète est la plus éloignée du Soleil ?,neptune
Quel est le plus grand satellite naturel de la Terre ?,La Lune
Quelle planète est la deuxième plus proche du Soleil ?,vénus
Quelle planète est surnommée la "géante gazeuse" ?,jupiter
Quelle planète possède une grande tache rouge visible dans son atmosphère ?,jupiter
Quel est le plus petit et le plus proche des géants gazeux ?,neptune
Quelle est la planète la plus massive du système solaire ?,jupiter
Quelle planète est souvent appelée la "planète bleue" ?,Terre
Quelle planète a une journée plus longue que son année ?,vénus
Quelle est la planète la plus froide du système solaire ?,uranus
Quelle planète est célèbre pour ses vents violents et ses tempêtes ?,jupiter
Quelle planète est située entre Mars et Jupiter ?,La ceinture d'astéroïdes
Quelle planète est associée au dieu romain du commerce et des voyages ?,Mercure
Quelle planète est souvent appelée la "planète des anneaux" ?,Saturne
En quelle année la mission Apollo 11 a-t-elle été lancée ?,1969
Quel astronaute a été le premier à poser le pied sur la Lune ?,Neil Armstrong
Quel était le nom du module lunaire utilisé lors de la descente sur la Lune ?,Eagle
